T,average energy,average magnetization,specific heat,susceptibility
2.1,-1.6624864,0.86900969,0.96980161,0.94146381
2.12,-1.6427388,0.85728308,1.0261533,1.1902097
2.14,-1.6211321,0.84325167,1.1027041,1.6244906
2.16,-1.5986199,0.82768951,1.1763458,2.1420767
2.18,-1.5739782,0.80897234,1.2896667,3.2415295
2.2,-1.5472225,0.78563005,1.4050234,4.7052501
2.22,-1.5174298,0.75532883,1.5553532,7.836669
2.24,-1.48359,0.71106744,1.7949911,15.819853
2.26,-1.4404048,0.61479092,2.3326751,76.569126
2.28,-1.394599,0.48522465,2.4973615,138.36814
2.3,-1.3478907,0.32664175,2.0464731,140.57445
2.32,-1.3115666,0.23776243,1.70761,99.326348
2.34,-1.279928,0.17003209,1.439438,60.581069
2.36,-1.2529511,0.13877046,1.30355,42.859863
2.38,-1.2276445,0.11624025,1.1977739,30.525829
2.4,-1.2047128,0.1009428,1.128579,23.129552
2.25,-1.462649,0.66922713,2.0206186,42.846216
2.252,-1.4594779,0.66810773,2.0570678,35.135715
2.254,-1.4556817,0.65676485,2.0988974,50.675197
2.256,-1.449969,0.64332602,2.2570145,58.087713
2.258,-1.4467077,0.64075439,2.1371579,51.072021
2.26,-1.4404312,0.61816285,2.2920299,76.059947
2.262,-1.4360609,0.60046552,2.4222613,97.00158
2.264,-1.430061,0.58788369,2.4482106,91.564297
2.266,-1.4292706,0.59541502,2.3365032,84.914419
2.268,-1.4238439,0.57775895,2.3825146,95.036535
2.27,-1.4210846,0.57909796,2.3919013,88.444995
2.272,-1.415072,0.55696867,2.4182263,105.4127
2.274,-1.4254172,0.58442148,3.3190475,98.32866
2.276,-1.4041016,0.52348275,2.4501792,119.62433
2.278,-1.3959624,0.48268206,2.446297,137.36297
2.28,-1.3944491,0.48213196,2.4599258,144.9722
2.282,-1.3876161,0.4550095,2.4315557,150.10052
2.284,-1.3854872,0.46525897,2.3506607,125.04109
2.286,-1.3811832,0.45010899,2.428128,142.43677
2.288,-1.3717274,0.3964432,2.3946098,163.53467
2.29,-1.3688083,0.38994521,2.3270307,157.54501
2.292,-1.3674139,0.40010443,2.3127426,153.46951
2.294,-1.3610738,0.370189,2.1998972,151.47538
2.296,-1.3563011,0.3526479,2.1921559,148.62257
2.298,-1.3537503,0.35547868,2.2030455,149.24176
2.3,-1.3831698,0.4409026,3.1421511,165.46437
2.302,-1.3448928,0.32771562,2.0697669,139.30617
2.304,-1.3393822,0.3009553,1.9901219,132.22884
2.306,-1.3350475,0.28214453,1.950484,130.90044
2.308,-1.331141,0.27011903,1.8808875,123.62744
2.31,-1.3277226,0.26455841,1.8617587,118.19199
2.312,-1.3244082,0.262699,1.8233464,113.38312
2.314,-1.3204399,0.24487689,1.7528644,106.87503
2.316,-1.3191097,0.25752095,1.8133182,113.81291
2.318,-1.3136463,0.23496625,1.6893017,97.386452
2.32,-1.3113563,0.23274796,1.702549,102.85606
2.322,-1.3072124,0.2180692,1.6419396,89.551749
2.324,-1.3041616,0.21322368,1.6136074,88.092888
2.326,-1.3065204,0.23096726,2.0906936,101.24377
2.328,-1.2975728,0.19803445,1.564866,78.862288
2.33,-1.2945756,0.19432789,1.5249381,77.134277
2.332,-1.2915303,0.19116005,1.5252159,73.673542
2.334,-1.2886179,0.18517692,1.492887,69.572701
2.336,-1.2856169,0.1801839,1.4853419,66.0302
2.338,-1.2825201,0.17759507,1.4627575,68.17701
2.34,-1.2798364,0.17109045,1.4531259,63.539685
2.342,-1.2769552,0.16968683,1.4263975,59.303792
2.344,-1.2742669,0.16825309,1.4207275,59.848261
2.346,-1.2715549,0.16071927,1.3963754,56.439518
2.348,-1.268331,0.15315666,1.4006593,53.891591
2.35,-1.2658004,0.15139845,1.3709501,50.670361
